DEPTH,Ga,Sn,C
501000.E-05,5.9201E+04,1.0189E+08,0.0000E+00
100100.E-04,1.1380E+05,1.2641E+08,0.0000E+00
150100.E-04,1.5100E+05,1.5737E+08,0.0000E+00
200100.E-04,1.5400E+05,1.8299E+08,0.0000E+00
250100.E-04,1.8040E+05,2.0538E+08,0.0000E+00
300100.E-04,2.0020E+05,2.2522E+08,0.0000E+00
350100.E-04,2.1820E+05,2.4242E+08,0.0000E+00
400100.E-04,2.3020E+05,2.5759E+08,0.0000E+00
450100.E-04,2.4920E+05,2.6984E+08,0.0000E+00
500100.E-04,2.8100E+05,2.8108E+08,0.0000E+00
550100.E-04,2.8460E+05,2.8964E+08,0.0000E+00
600100.E-04,2.9540E+05,2.9671E+08,0.0000E+00
650100.E-04,2.9580E+05,3.0293E+08,0.0000E+00
700100.E-04,3.3201E+05,3.0681E+08,0.0000E+00
750100.E-04,3.3001E+05,3.1014E+08,0.0000E+00
800100.E-04,3.3401E+05,3.1191E+08,0.0000E+00
850100.E-04,3.3401E+05,3.1321E+08,0.0000E+00
900100.E-04,3.7101E+05,3.1238E+08,0.0000E+00
950100.E-04,3.5041E+05,3.1134E+08,0.0000E+00
100010.E-03,3.7021E+05,3.0883E+08,0.0000E+00
105010.E-03,3.8621E+05,3.0546E+08,0.0000E+00
110010.E-03,3.7661E+05,3.0145E+08,0.0000E+00
115010.E-03,3.6881E+05,2.9772E+08,0.0000E+00
120010.E-03,3.7881E+05,2.9163E+08,0.0000E+00
125010.E-03,3.9861E+05,2.8598E+08,0.0000E+00
130010.E-03,3.8141E+05,2.7950E+08,0.0000E+00
135010.E-03,3.8801E+05,2.7272E+08,2.0000E+02
140010.E-03,3.8261E+05,2.6550E+08,0.0000E+00
145010.E-03,3.7321E+05,2.5732E+08,0.0000E+00
150010.E-03,3.5841E+05,2.4925E+08,4.0000E+02
155010.E-03,3.6521E+05,2.4125E+08,0.0000E+00
160010.E-03,3.7121E+05,2.3227E+08,2.0000E+02
165010.E-03,3.3981E+05,2.2428E+08,2.0000E+02
170010.E-03,3.5621E+05,2.1568E+08,6.0001E+02
175010.E-03,3.5481E+05,2.0736E+08,2.0000E+02
180010.E-03,3.4421E+05,1.9845E+08,6.0001E+02
185010.E-03,3.2780E+05,1.9048E+08,4.0000E+02
190010.E-03,3.2981E+05,1.8220E+08,1.2000E+03
195010.E-03,3.1560E+05,1.7434E+08,1.0000E+03
200010.E-03,3.0360E+05,1.6635E+08,1.2000E+03
205010.E-03,3.0260E+05,1.5847E+08,1.6000E+03
210010.E-03,3.0120E+05,1.5080E+08,1.8000E+03
215010.E-03,2.8540E+05,1.4306E+08,2.0000E+03
220010.E-03,2.8460E+05,1.3560E+08,2.0000E+03
225010.E-03,2.8360E+05,1.2868E+08,3.0000E+03
230010.E-03,2.6900E+05,1.2176E+08,3.2000E+03
235010.E-03,2.5940E+05,1.1486E+08,5.8001E+03
240010.E-03,2.5420E+05,1.0858E+08,4.6000E+03
245010.E-03,2.3140E+05,1.0235E+08,8.4001E+03
250010.E-03,2.2720E+05,9.6102E+07,1.0600E+04
255010.E-03,2.1620E+05,9.0115E+07,1.3000E+04
260010.E-03,2.0360E+05,8.4049E+07,1.9200E+04
265010.E-03,1.9060E+05,7.8496E+07,3.3800E+04
270010.E-03,1.8020E+05,7.2963E+07,3.8000E+04
275010.E-03,1.7760E+05,6.7476E+07,7.1801E+04
280010.E-03,1.5340E+05,6.2100E+07,1.1020E+05
285010.E-03,1.4500E+05,5.6326E+07,1.9680E+05
290010.E-03,1.2460E+05,5.0367E+07,3.7701E+05
295010.E-03,9.9601E+04,4.2470E+07,7.6884E+05
300010.E-03,5.9201E+04,3.0154E+07,1.5101E+06
305010.E-03,5.3001E+04,1.0254E+07,2.8503E+07
310010.E-03,8.0801E+04,1.0174E+07,4.0034E+07
315010.E-03,1.1680E+05,5.8791E+06,3.6739E+07
320010.E-03,1.3040E+05,2.5035E+06,3.1691E+07
325010.E-03,1.3320E+05,1.1792E+06,2.7872E+07
330010.E-03,1.3400E+05,6.3023E+05,2.4508E+07
335010.E-03,1.3400E+05,3.5541E+05,2.2167E+07
340010.E-03,1.3200E+05,2.0080E+05,2.0204E+07
345010.E-03,1.4440E+05,1.2580E+05,1.8336E+07
350010.E-03,1.2040E+05,7.4801E+04,1.6559E+07
355010.E-03,1.2440E+05,4.0600E+04,1.4891E+07
360010.E-03,1.2360E+05,2.3000E+04,1.3412E+07
365010.E-03,1.1520E+05,1.1800E+04,1.1721E+07
370010.E-03,1.0920E+05,9.0001E+03,1.0319E+07
375010.E-03,9.6201E+04,3.6000E+03,9.1141E+06
380010.E-03,9.2801E+04,1.2000E+03,7.9790E+06
385010.E-03,8.7801E+04,1.2000E+03,6.9025E+06
390010.E-03,7.4201E+04,4.0000E+02,5.8865E+06
395010.E-03,6.2801E+04,4.0000E+02,4.9484E+06
400010.E-03,5.2601E+04,0.0000E+00,4.0767E+06
405010.E-03,5.0801E+04,0.0000E+00,3.4231E+06
410010.E-03,3.9600E+04,0.0000E+00,2.7814E+06
415010.E-03,3.0600E+04,0.0000E+00,2.2372E+06
420010.E-03,3.3600E+04,0.0000E+00,1.7939E+06
425010.E-03,2.1600E+04,0.0000E+00,1.4574E+06
430010.E-03,1.7200E+04,0.0000E+00,1.1528E+06
435010.E-03,1.4000E+04,0.0000E+00,9.2525E+05
440010.E-03,1.0400E+04,0.0000E+00,7.1363E+05
445010.E-03,7.8001E+03,0.0000E+00,5.6462E+05
450010.E-03,6.2001E+03,0.0000E+00,4.5481E+05
455010.E-03,6.2001E+03,0.0000E+00,3.5181E+05
460010.E-03,2.2000E+03,0.0000E+00,2.8140E+05
465010.E-03,1.8000E+03,0.0000E+00,2.3160E+05
470010.E-03,1.2000E+03,0.0000E+00,1.7340E+05
475010.E-03,1.6000E+03,0.0000E+00,1.2780E+05
480010.E-03,4.0000E+02,0.0000E+00,1.1000E+05
485010.E-03,1.0000E+03,0.0000E+00,8.5201E+04
490010.E-03,4.0000E+02,0.0000E+00,6.0001E+04
495010.E-03,8.0001E+02,0.0000E+00,5.6001E+04
500010.E-03,2.0000E+02,0.0000E+00,3.3000E+04
