DEPTH,Ga,Si,N,C
1.00E-03,6.40E+03,3.25E+07,2.92E+07,1.91E+00
5.01E-01,1.34E+04,4.55E+06,5.70E+06,1.91E+00
1.00E+00,1.88E+04,1.63E+06,2.16E+06,1.94E+00
1.50E+00,3.12E+04,9.11E+05,1.25E+06,1.99E+00
2.00E+00,4.46E+04,6.35E+05,8.70E+05,2.05E+00
2.50E+00,6.72E+04,4.84E+05,6.31E+05,2.10E+00
3.00E+00,8.90E+04,3.76E+05,5.01E+05,2.15E+00
3.50E+00,1.13E+05,3.10E+05,4.03E+05,2.19E+00
4.00E+00,1.52E+05,2.52E+05,3.38E+05,2.24E+00
4.50E+00,1.74E+05,2.03E+05,2.91E+05,2.27E+00
5.00E+00,2.21E+05,1.75E+05,2.52E+05,2.30E+00
5.50E+00,2.74E+05,1.57E+05,2.17E+05,2.31E+00
6.00E+00,3.13E+05,1.44E+05,1.95E+05,2.31E+00
6.50E+00,3.78E+05,1.24E+05,1.64E+05,2.31E+00
7.00E+00,4.41E+05,1.03E+05,1.55E+05,2.28E+00
7.50E+00,5.37E+05,9.32E+04,1.39E+05,2.25E+00
8.00E+00,5.93E+05,8.48E+04,1.24E+05,2.20E+00
8.50E+00,6.74E+05,7.86E+04,1.09E+05,2.14E+00
9.00E+00,7.43E+05,7.80E+04,1.09E+05,2.07E+00
9.50E+00,8.17E+05,6.28E+04,9.22E+04,1.97E+00
1.00E+01,8.83E+05,5.82E+04,8.70E+04,1.87E+00
1.05E+01,9.27E+05,5.08E+04,8.32E+04,1.76E+00
1.10E+01,9.56E+05,4.44E+04,7.12E+04,1.64E+00
1.15E+01,9.77E+05,4.18E+04,6.62E+04,1.51E+00
1.20E+01,9.65E+05,3.98E+04,6.78E+04,1.39E+00
1.25E+01,9.74E+05,3.26E+04,6.38E+04,1.27E+00
1.30E+01,9.66E+05,3.38E+04,5.78E+04,1.15E+00
1.35E+01,9.02E+05,2.78E+04,5.02E+04,1.03E+00
1.40E+01,8.50E+05,2.90E+04,5.02E+04,9.12E-01
1.45E+01,7.92E+05,2.54E+04,4.20E+04,8.06E-01
1.50E+01,7.17E+05,2.18E+04,3.92E+04,7.02E-01
1.55E+01,6.76E+05,1.74E+04,3.60E+04,6.13E-01
1.60E+01,6.02E+05,1.90E+04,3.40E+04,5.31E-01
1.65E+01,5.23E+05,1.54E+04,3.74E+04,4.58E-01
1.70E+01,4.53E+05,1.66E+04,3.06E+04,3.90E-01
1.75E+01,4.01E+05,1.30E+04,2.92E+04,3.34E-01
1.80E+01,3.43E+05,1.08E+04,3.16E+04,2.82E-01
1.85E+01,2.84E+05,7.20E+03,2.20E+04,2.39E-01
1.90E+01,2.33E+05,9.80E+03,2.56E+04,2.02E-01
1.95E+01,1.99E+05,6.80E+03,2.30E+04,1.70E-01
2.00E+01,1.52E+05,5.80E+03,1.98E+04,1.42E-01
2.05E+01,1.18E+05,6.20E+03,2.06E+04,1.21E-01
2.10E+01,9.96E+04,5.20E+03,1.76E+04,1.00E-01
2.15E+01,7.94E+04,6.20E+03,1.46E+04,8.43E-02
2.20E+01,5.88E+04,7.00E+03,1.58E+04,7.05E-02
2.25E+01,4.30E+04,3.80E+03,1.32E+04,5.91E-02
2.30E+01,3.62E+04,2.60E+03,1.02E+04,4.99E-02
2.35E+01,2.14E+04,3.40E+03,9.20E+03,4.23E-02
2.40E+01,1.46E+04,1.60E+03,9.20E+03,3.62E-02
2.45E+01,1.38E+04,1.80E+03,9.60E+03,2.97E-02
2.50E+01,9.00E+03,1.20E+03,6.80E+03,2.55E-02
2.55E+01,6.40E+03,1.20E+03,6.40E+03,2.19E-02
2.60E+01,3.80E+03,1.20E+03,4.40E+03,1.86E-02
2.65E+01,3.20E+03,1.00E+03,4.20E+03,1.60E-02
2.70E+01,2.20E+03,1.60E+03,7.20E+03,1.34E-02
2.75E+01,2.20E+03,0.00E+00,3.20E+03,1.13E-02
2.80E+01,1.20E+03,6.00E+02,4.20E+03,9.38E-03
2.85E+01,4.00E+02,4.00E+02,1.80E+03,8.03E-03
2.90E+01,6.00E+02,0.00E+00,3.80E+03,6.71E-03
2.95E+01,0.00E+00,6.00E+02,2.40E+03,5.73E-03
3.00E+01,2.00E+02,0.00E+00,2.80E+03,4.76E-03
3.05E+01,0.00E+00,2.00E+02,1.60E+03,3.98E-03
3.10E+01,0.00E+00,4.00E+02,2.20E+03,3.68E-03
3.15E+01,0.00E+00,0.00E+00,1.00E+03,2.74E-03
3.20E+01,0.00E+00,0.00E+00,4.00E+02,2.25E-03
3.25E+01,0.00E+00,0.00E+00,4.00E+02,1.69E-03
3.30E+01,0.00E+00,0.00E+00,4.00E+02,1.48E-03
3.35E+01,0.00E+00,0.00E+00,1.00E+03,1.16E-03
3.40E+01,0.00E+00,0.00E+00,6.00E+02,1.03E-03
3.45E+01,0.00E+00,0.00E+00,0.00E+00,8.08E-04
3.50E+01,0.00E+00,0.00E+00,6.00E+02,7.26E-04
3.55E+01,0.00E+00,0.00E+00,2.00E+02,5.70E-04
3.60E+01,0.00E+00,0.00E+00,4.00E+02,4.30E-04
3.65E+01,0.00E+00,0.00E+00,2.00E+02,3.52E-04
3.70E+01,0.00E+00,0.00E+00,0.00E+00,2.50E-04
3.75E+01,0.00E+00,0.00E+00,0.00E+00,1.68E-04
3.80E+01,0.00E+00,0.00E+00,0.00E+00,1.42E-04
3.85E+01,0.00E+00,0.00E+00,0.00E+00,6.00E-05
3.90E+01,0.00E+00,0.00E+00,0.00E+00,5.40E-05
3.95E+01,0.00E+00,0.00E+00,0.00E+00,5.40E-05
4.00E+01,0.00E+00,0.00E+00,0.00E+00,2.60E-05
4.05E+01,0.00E+00,0.00E+00,0.00E+00,2.00E-05
4.10E+01,0.00E+00,0.00E+00,0.00E+00,1.40E-05
4.15E+01,0.00E+00,0.00E+00,0.00E+00,6.00E-06
4.20E+01,0.00E+00,0.00E+00,0.00E+00,8.00E-06
4.25E+01,0.00E+00,0.00E+00,0.00E+00,2.00E-06
4.30E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.35E+01,0.00E+00,0.00E+00,0.00E+00,2.00E-06
4.40E+01,0.00E+00,0.00E+00,0.00E+00,8.00E-06
4.45E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
