DEPTH,by,by
120100.E-04,2875.54E-05,1294.66E-04
240100.E-04,3530.57E-05,1561.43E-04
360100.E-04,4264.02E-05,1901.78E-04
480100.E-04,4351.36E-05,1931.15E-04
600100.E-04,4454.06E-05,1923.34E-04
720100.E-04,4576.05E-05,1967.85E-04
840100.E-04,4720.83E-05,2050.58E-04
960100.E-04,4874.88E-05,2113.24E-04
108010.E-03,5041.79E-05,2217.67E-04
120010.E-03,5179.06E-05,2187.15E-04
132010.E-03,5362.17E-05,2242.60E-04
144010.E-03,5579.85E-05,2276.64E-04
156010.E-03,5767.80E-05,2368.47E-04
168010.E-03,5948.90E-05,2362.23E-04
180010.E-03,6120.32E-05,2471.41E-04
192010.E-03,6299.34E-05,2469.58E-04
204010.E-03,6524.45E-05,2517.33E-04
216010.E-03,6758.99E-05,2551.91E-04
228010.E-03,7018.41E-05,2621.36E-04
240010.E-03,7207.28E-05,2622.08E-04
252010.E-03,7432.39E-05,2658.35E-04
264010.E-03,7633.04E-05,2658.09E-04
276010.E-03,7811.55E-05,2659.59E-04
288010.E-03,8001.84E-05,2695.26E-04
300010.E-03,8108.88E-05,2677.69E-04
312010.E-03,8256.79E-05,2601.14E-04
324010.E-03,8293.82E-05,2614.12E-04
336010.E-03,8344.04E-05,2568.13E-04
348010.E-03,8356.57E-05,2450.76E-04
360010.E-03,8291.08E-05,2371.03E-04
372010.E-03,8163.91E-05,2266.07E-04
384010.E-03,7941.22E-05,2159.76E-04
396010.E-03,7725.88E-05,2001.40E-04
408010.E-03,7462.87E-05,1887.56E-04
420010.E-03,7068.43E-05,1729.47E-04
432010.E-03,6618.21E-05,1566.06E-04
444010.E-03,6070.47E-05,1389.71E-04
456010.E-03,5565.90E-05,1238.89E-04
468010.E-03,5072.94E-05,1097.37E-04
480010.E-03,4494.47E-05,9257.90E-05
492010.E-03,3930.35E-05,8044.85E-05
504010.E-03,3396.86E-05,6495.53E-05
516010.E-03,2870.12E-05,5195.77E-05
528010.E-03,2379.10E-05,4252.99E-05
540010.E-03,1926.61E-05,3180.47E-05
552010.E-03,1582.85E-05,2671.02E-05
564010.E-03,1226.18E-05,1998.62E-05
576010.E-03,9617.58E-06,1549.16E-05
588010.E-03,7092.34E-06,1040.51E-05
600010.E-03,5354.41E-06,7610.27E-06
612010.E-03,3785.12E-06,4971.29E-06
624010.E-03,2795.83E-06,3823.44E-06
636010.E-03,1806.67E-06,2330.79E-06
648010.E-03,1294.19E-06,1677.09E-06
660010.E-03,8016.76E-07,8972.39E-07
672010.E-03,4600.03E-07,6623.83E-07
684010.E-03,3183.37E-07,3696.90E-07
696010.E-03,2100.02E-07,2786.47E-07
708010.E-03,1316.68E-07,1251.93E-07
720010.E-03,7500.08E-08,4812.49E-08
732010.E-03,3500.03E-08,3881.94E-08
744010.E-03,2666.69E-08,1932.45E-08
756010.E-03,1750.02E-08,1340.18E-08
768010.E-03,4166.71E-09,7109.09E-09
780010.E-03,0000.00E+00,0000.00E+00
792010.E-03,2500.03E-09,8254.29E-09
804010.E-03,0000.00E+00,0000.00E+00
816010.E-03,0000.00E+00,0000.00E+00
828010.E-03,0000.00E+00,0000.00E+00
840010.E-03,0000.00E+00,0000.00E+00
852010.E-03,0000.00E+00,0000.00E+00
864010.E-03,0000.00E+00,0000.00E+00
876010.E-03,0000.00E+00,0000.00E+00
888010.E-03,0000.00E+00,0000.00E+00
900010.E-03,0000.00E+00,0000.00E+00
912010.E-03,0000.00E+00,0000.00E+00
924010.E-03,0000.00E+00,0000.00E+00
936010.E-03,0000.00E+00,0000.00E+00
948010.E-03,0000.00E+00,0000.00E+00
960010.E-03,0000.00E+00,0000.00E+00
972010.E-03,0000.00E+00,0000.00E+00
984010.E-03,0000.00E+00,0000.00E+00
996010.E-03,0000.00E+00,0000.00E+00
100801.E-02,0000.00E+00,0000.00E+00
102001.E-02,0000.00E+00,0000.00E+00
103201.E-02,0000.00E+00,0000.00E+00
104401.E-02,0000.00E+00,0000.00E+00
105601.E-02,0000.00E+00,0000.00E+00
106801.E-02,0000.00E+00,0000.00E+00
108001.E-02,0000.00E+00,0000.00E+00
109201.E-02,0000.00E+00,0000.00E+00
110401.E-02,0000.00E+00,0000.00E+00
111601.E-02,0000.00E+00,0000.00E+00
112801.E-02,0000.00E+00,0000.00E+00
114001.E-02,0000.00E+00,0000.00E+00
115201.E-02,0000.00E+00,0000.00E+00
116401.E-02,0000.00E+00,0000.00E+00
117601.E-02,0000.00E+00,0000.00E+00
118801.E-02,0000.00E+00,0000.00E+00
120001.E-02,0000.00E+00,0000.00E+00

To,convert,to,Energy,Lost,-,multiply,by,Average,Binding,Energy,=,3,eV/Vacancy
